PERFORMANCE SUMMARY REPORT
=========================

Pairs Processed: 304
Total Processing Time: 138.01 seconds
Average Time Per Pair: 0.45 seconds

OPERATION BREAKDOWN (Sorted by Total Time)
----------------------------------------
Operation                      Total Time (s)  Avg Time (s)    Calls      % of Total
--------------------------------------------------------------------------------
compute_features_total         109.53          0.760630        144        79.37     
volatility_features            13.22           0.064465        205        9.58      
database_update                12.53           0.106166        118        9.08      
statistical_features           10.77           0.057883        186        7.80      
cross_pair_features            7.11            7.107040        1          5.15      
volume_features                6.28            0.031578        199        4.55      
db_get_columns                 3.88            0.015885        244        2.81      
fetch_data                     3.22            0.014075        229        2.34      
time_features                  2.22            0.013038        170        1.61      
pattern_features               1.67            0.010766        155        1.21      
label_features                 0.94            0.005814        162        0.68      
momentum_features              0.50            0.002385        211        0.36      
price_action_features          0.03            0.000132        233        0.02      
